index,time,dTLB-load-misses,L1-icache-load-misses,instructions:u,cache-misses:u,branch-misses:u,iTLB-load-misses,L1-dcache-load-misses,LLC-load-misses,dTLB-store-misses,cpu-cycles:u,branch-load-misses,LLC-store-misses,cpi
47,9.618363764,64245,40139,507914956,1458318,7549,401,38808951,1271896,15897,317309315,11146,169565,0.624729221401388
48,9.818635748,22590,28019,496368952,1636315,1982,222,36925568,1429184,2931,317393638,1998,166939,0.639430884468374
49,10.018915725,22510,38960,514604132,1456280,2098,272,38297038,1262075,2966,317621218,2087,160092,0.617214667059844
50,10.219193318,17070,53997,404142707,1251354,40818,316,34375576,908105,22508,317263993,24999,241244,0.785029613314289
51,10.41947013,27466,10828,166686753,471147,15623,836,7189153,360091,425268,181386380,33503,45016,1.088187133863
52,10.619829494,16098,326146,328698730,1062737,2183,1310,32132578,825869,279238,268828272,3597,217913,0.817856132270423
53,10.820114396,16550,919384,472107155,1148510,2140,1419,39192523,908789,6189,317490215,2299,318006,0.672496088308596
54,11.020393396,16137,872637,456167314,1192527,1354,306,38256199,852910,6162,317406244,1327,322709,0.695811019901351
55,11.220694899,16345,706993,416506553,1298134,1265,200,40565732,1022994,5645,317546018,1211,369343,0.762403414094664
56,11.420962281,16748,371290,484048970,1215846,1361,18,41230863,930098,6057,317484428,1342,316423,0.655893200227242
57,11.621234241,12086,3795184,291743958,1173452,2646,115,29093889,1024557,3682,316956563,2613,167161,1.08642031585792
58,11.821531747,44370,377395,275341166,2407852,2714,0,39452159,2404102,90,316337129,2745,1600,1.14889151373754
59,12.021804544,44186,386102,274052293,2400432,2236,0,39292338,2402725,119,316236637,2230,4343,1.15392808262327
60,12.222102123,68921,111918,406829933,3523695,3620,2173,53670286,3595563,9,316449686,3835,1848,0.777842681502002
61,12.422397025,64156,167468,392896533,3497054,3858,1539,52733022,3413770,15,316479533,3758,2654,0.805503501350571
62,12.622682141,109306,16419,379893364,1490146,31104,1162,39816654,1368563,36913,316229525,39394,87484,0.832416554135965
63,12.822958497,34364,21023,282238268,2211160,3517,116,31468800,2088476,2531,316374875,3495,129608,1.12094960489199
64,13.023246461,113452,130202,323983470,2552154,4890,1051,41171154,2455136,156016,316187567,7684,378170,0.97593734334656
65,13.223553295,16578,430184,482359682,1203932,2527,1371,41143041,873565,6159,317396503,2528,314477,0.65800794478507
66,13.423861834,14124,2496940,374722917,1056270,2053,1326,34964065,828924,4978,316643148,1947,268844,0.845006092861943
67,13.624157858,15350,2108961,394069159,1240521,1135,278,35330454,961730,5666,317019100,1176,359754,0.804475795072306
68,13.82442157,10513,4638903,294897963,862059,1657,773,27393032,686548,3858,316730057,1561,204724,1.07403270533951
69,14.024696853,12170,1829560,403434009,1111095,1236,315,35159613,785764,4389,317025631,1117,243304,0.78581781388688
70,14.225003153,18967,2595510,384979996,1058154,1136,603,33369563,814191,4210,316991572,1410,251458,0.823397514919191
71,14.425282095,61002,348342,357447244,3020891,3616,863,47030803,3117191,603,316079828,3625,951,0.884269870045494
72,14.625572396,69456,36021,433126373,3854582,3895,1733,58862517,3855464,28,316860112,3786,5276,0.731565039102341
73,14.825842613,69460,123049,409779263,3576913,3770,1783,56047864,3776581,18,316789161,3745,3107,0.77307269938645
