index,time,cache-misses:u,dTLB-store-misses,branch-misses:u,iTLB-load-misses,LLC-load-misses,L1-icache-load-misses,L1-dcache-load-misses,branch-load-misses,cpu-cycles:u,instructions:u,dTLB-load-misses,LLC-store-misses,cpi
46,9.409955604,5195600,4667,219646,20148,5093071,304097,9412810,199424,409075382,222876170,1414599,10175,1.83543795642217
47,9.61018173,5129110,4383,228635,19048,5164376,309908,9419304,245032,410093740,232100509,1378242,11166,1.7668799683675
48,9.810407232,4934477,4808,203077,20179,4981451,313582,9412922,192394,409462593,227957840,1394685,10068,1.79622070905743
49,10.010644214,5046914,4205,187331,18772,4986177,289855,9471964,176038,390211560,228862720,1384100,9554,1.70500271953423
50,10.210870955,5128196,4124,229054,17119,5066291,304222,9039233,202282,410296155,218031083,1436471,9174,1.88182413880869
51,10.411081305,5158590,3992,202727,18297,4964308,272275,9316202,234241,403815204,216481016,1342351,9782,1.86536081297771
52,10.611292983,5096266,4082,196925,19211,4967879,280588,9295343,197744,399882286,222470294,1386948,10674,1.79746373688885
53,10.811519027,5094745,3885,233595,16368,5240325,314499,9260896,200872,385533493,227453733,1341370,10063,1.69499743053239
54,11.011727206,5140087,4051,162135,19582,5034102,268998,9241029,181884,406637714,226532964,1402576,9844,1.79504875060921
55,11.211931952,5016232,4025,174120,16680,5070722,260898,9191614,192367,386489119,229115706,1387431,9685,1.68687309022804
56,11.412121972,5131659,4256,209020,17795,5132432,288521,9141887,169945,403628278,220767822,1348442,11126,1.82829306528195
57,11.612329388,5175338,3911,212371,16393,5136026,283004,8932047,178587,392000290,226199865,1342109,10431,1.73298198033849
58,11.812540728,5138921,4266,218580,16979,5166857,269179,9129077,219063,383168968,214079440,1368019,10172,1.78984477911564
59,12.012742946,5208724,3956,186277,16471,5193085,280873,9083579,171396,384671703,223663720,1348277,10888,1.71986633773238
60,12.212938102,5187054,3776,244868,18669,5274879,261627,8646391,218293,406915758,193928325,1320925,8491,2.09827913482984
61,12.413156012,5200454,4161,189451,16716,5397252,260581,8811314,202005,384695605,220213766,1324268,9318,1.74691896872605
62,12.613377396,5136614,3777,176320,17434,5132728,292249,9218077,178216,387639712,219583351,1330464,8968,1.76534199990417
63,12.813622234,5223533,3735,164979,17974,5036873,264293,9049993,151969,388836251,217693387,1331579,8998,1.78616473544968
64,13.01386307,5209329,3720,163160,17533,5111584,244167,8901476,185499,404269088,224163075,1313057,8502,1.80345977141864
65,13.214088902,5352702,3691,152813,18738,5290116,276164,8857083,185008,398662879,206043301,1243671,11625,1.93484999058523
66,13.414296845,5323705,3386,146997,16588,5390639,248746,8692061,158485,378324245,209953574,1317478,8847,1.80194239036864
67,13.614542362,5207997,3500,187134,14922,5220423,268662,8870742,158760,386124968,216500344,1368167,8481,1.78348431631129
68,13.814770263,5125811,3308,143054,16221,5139422,252463,8897644,145714,379048888,212183579,1340934,8562,1.78641952306781
69,14.015000411,5386913,3729,160325,17612,5339512,241037,8934495,173956,398486374,216556415,1309882,8396,1.84010422411176
70,14.215204835,5950212,3347,158662,13087,6033175,270239,9028160,149076,453904564,223551452,1415197,10103,2.03042547896312
71,14.415405834,5052852,2815,121068,16198,5095427,404795,7864279,145226,496253524,172594266,1200812,7616,2.8752607806797
72,14.615582834,5511674,3378,140676,16776,5396128,315549,8513312,141373,482027129,187315897,1149500,10317,2.57333807071377
73,14.815729157,130770,8938,1034887,33030,107857,3482190,21576876,1095309,478516924,694410013,116072,6165,0.689098536947508
74,15.015929941,634853,16724,1252396,46235,636853,1234927,24990530,1293644,505934359,824522077,694355,6312,0.613609232685227
75,15.216125397,1779459,16177,1060824,42920,1656160,794595,21794671,1042102,500346725,705315162,962413,9931,0.709394540138923
76,15.416325767,2609919,13138,874153,39528,2481091,632400,19090222,947792,477615454,598032909,910072,9969,0.798644099366779
77,15.616538885,3130910,12205,875357,39933,3063858,484113,17910931,883598,483416511,591976774,923792,11340,0.816613982561417
78,15.816746296,3111989,11056,794027,37482,3073339,461574,15958114,794805,464606462,551672441,879807,10845,0.842178125044314
79,16.016954734,3286169,10300,697039,35714,3177536,432783,15061510,693887,462810196,498302200,880390,10172,0.928774137461163
80,16.217181144,3477826,11977,743002,37033,3505297,373302,15190970,620586,461198893,502657427,1034571,10846,0.917521294279016
81,16.417386528,3614221,9044,614839,32628,3384755,392653,14310333,641957,447460667,434400439,772774,10657,1.03006495120048
82,16.617611341,3892013,9874,650732,34421,3735607,347513,14150150,661634,453439192,471970431,931063,11372,0.960736440711473
83,16.817839713,3860438,8131,525626,32343,3854415,317918,13837457,536916,434238786,424940200,751119,9935,1.02188210482322
84,17.018052249,4032716,8473,534322,32415,3955013,347319,13656542,568673,437596165,414101981,755676,9210,1.05673526106604
85,17.218280534,4042900,8123,554668,27830,3979164,300534,13498986,589589,424622947,420813974,706229,8832,1.00905144133831
86,17.41852125,4034034,7592,560811,28793,3995058,285954,12737734,560808,429007488,424845639,711326,7534,1.00979614386485
87,17.618746623,4129775,7208,577957,26879,4044970,282824,13758517,520123,435311210,405682498,731138,6476,1.07303423772548
88,17.81897974,4091519,6813,475090,26975,4040528,285390,12933058,487815,415028647,375395713,734948,6736,1.10557641610574
