index,time,branch-misses:u,cpu-cycles:u,LLC-store-misses,cache-misses:u,iTLB-load-misses,branch-load-misses,instructions:u,dTLB-load-misses,dTLB-store-misses,LLC-load-misses,L1-icache-load-misses,L1-dcache-load-misses,cpi
44,9.009229938,1584915,420104683,278158,3737609,15555,1576074,304972475,2064403,236006,3468903,194154,11310666,1.37751671851697
45,9.209435252,1592585,433885633,282957,3801636,15924,1579358,300617124,2056932,232998,3461173,188491,11342429,1.44331642597978
46,9.409656865,1626810,431934815,247934,3731509,10553,1625052,309547274,2114906,215421,3405673,177839,11350180,1.39537592891223
47,9.609864074,1606925,427434173,273642,3736229,10970,1572729,302712806,2075977,228122,3423312,198217,11247159,1.41201219283733
48,9.810072269,1640163,425728887,234673,3620804,14149,1638894,310621067,2116435,206124,3398320,198752,11310892,1.37057312664501
49,10.010297413,1650183,431867656,226889,3629746,18738,1649516,312205929,2140991,210391,3367205,201026,11195917,1.38327820161288
50,10.21051261,1627653,435644594,222658,3617485,17206,1639894,311216455,2138284,198461,3357582,222127,11152777,1.39981221108633
51,10.410732187,1635618,428966924,218253,3616835,13111,1632789,314628941,2122531,195652,3362183,207191,11285943,1.36340580315528
52,10.610954895,1585122,427317391,243905,3664066,13811,1584254,306251715,2117823,211258,3387943,205886,11234166,1.39531427930126
53,10.811161952,1537700,427482163,269415,3731775,11927,1550166,298875510,2064593,219255,3425105,193119,11190391,1.43030174335796
54,11.011372648,1593071,424051759,257413,3688191,12767,1584958,308809498,2065977,210657,3395308,205545,11304413,1.37318237213028
55,11.214062198,1633954,434084888,267966,3763638,19129,1634847,311094405,2136433,211963,3497485,196884,11395714,1.39534778196991
56,11.414277922,1588241,429754852,233515,3657267,15248,1595786,305750737,2119429,198088,3397488,192262,11239927,1.40557257920853
57,11.61449428,1609061,429282831,228790,3672935,14037,1603410,310859832,2088008,204024,3394654,195468,11253573,1.38095304317092
58,11.814725101,1590644,421991298,242715,3666041,13635,1596460,309130824,2110432,208409,3413132,209233,11298550,1.36508968125417
59,12.014944405,1502180,437172133,252180,3589265,25305,1450930,279779238,1836992,179469,3262916,301018,10716695,1.56256102534671
60,12.215159047,1594185,436112594,262048,3742721,14767,1586149,311672232,2087186,213970,3493158,195888,11286621,1.39926675918951
61,12.415396247,1587150,427916010,272233,3732425,13679,1582160,306557162,2073304,238471,3424150,190975,11134177,1.39587673374925
62,12.615621109,1627578,427381705,227256,3636989,13597,1643784,310991340,2088919,207195,3362833,195370,11138678,1.37425596802792
63,12.815846171,1654542,422907591,221781,3581309,11481,1628632,312208049,2090244,196290,3362977,231169,11102831,1.35456978881413
64,13.016069976,1608790,423789729,242487,3647252,16253,1606016,309905105,2116769,205076,3355187,192392,11140763,1.36748224589588
65,13.216283497,1624299,431585748,245743,3712572,12697,1637942,311563717,2082205,209241,3449729,207068,11162071,1.38522467300003
66,13.416494409,1601109,420468065,233808,3639437,14743,1618778,307226959,2089876,203537,3389613,201571,11209189,1.3685910454232
67,13.616721227,1614013,425087882,233953,3653623,14840,1609822,311234152,2094597,209464,3408791,191267,11345081,1.36581374270263
68,13.816925884,1592672,425204927,233513,3639512,15375,1618500,310684395,2103526,204361,3415785,197867,11259533,1.36860728714746
69,14.017132775,1622321,434542421,221113,3645140,21251,1582000,307758077,2021885,184500,3305435,223866,11142469,1.41196106122017
70,14.217349474,1609503,427476466,227595,3680954,12803,1638972,310903104,2094732,200559,3400011,213221,11257655,1.37495078209319
71,14.417563964,1606581,424457189,251103,3691063,11376,1596156,310053203,2086129,213325,3411815,195564,11146411,1.36898179052193
72,14.617769715,1576717,423602557,243848,3668788,13481,1569390,306601969,2074396,216618,3450915,186047,11298247,1.38160416380105
73,14.81797541,1628562,420999154,227221,3635680,15140,1629922,310340642,2095419,198931,3398652,198089,11198790,1.35657112547959
74,15.018194443,1621975,433032193,252557,3722176,18647,1631477,314700899,2090278,220864,3475398,202523,11117700,1.376011935066
75,15.21841026,1623320,435000995,220824,3643666,8900,1619692,314188995,2079446,194185,3354411,218091,11145301,1.38452015163676
76,15.418620543,1640300,421947147,225533,3629811,11715,1631480,313340558,2074213,192424,3403375,211856,11281271,1.34660878149071
77,15.6188455,1633811,424636655,216765,3595969,13493,1639573,311935000,2076793,188211,3339918,229591,11115422,1.36129852373091
78,15.81905593,1623483,421440943,216968,3586824,13009,1626862,312086311,2064275,191042,3337620,218380,11158590,1.35039868185696
79,16.019244615,1642401,446357356,257288,3872060,12224,1642877,314474513,2176525,201256,3612213,220423,11532731,1.41937529926312
80,16.221857719,1676183,460267542,251399,3889383,12731,1680420,321496025,2185359,212913,3631278,216144,11723801,1.43164302575747
81,16.422032694,1675123,454839145,230301,3817556,12586,1667547,322928627,2175894,196931,3549884,227653,11533144,1.40848195846075
82,16.622264129,1616935,433013312,238476,3697746,10911,1609184,312215175,2128376,199941,3470288,209514,11166597,1.38690668062499
83,16.822478592,1618284,425149452,218374,3599426,11479,1610871,311831349,2090192,194352,3362424,216303,11021582,1.36339548080523
84,17.02268268,1616679,420870381,215963,3561744,14922,1615563,311971369,2042932,187698,3311133,231555,11020528,1.34906732739311
85,17.222892434,1629671,423777655,221972,3572774,16846,1630480,313618491,2079107,191257,3389650,209255,11154458,1.35125213328062
86,17.423129333,1602502,428429513,222066,3640380,13800,1628100,310663083,2075308,190002,3357795,197781,11200399,1.37908086426864
87,17.623354051,1588108,428190802,240695,3704669,12602,1587828,309293581,2077830,206038,3388731,196826,11116356,1.38441541727308
88,17.823570944,1558495,420143082,249150,3724998,15560,1583207,305964882,2082871,207604,3436762,196080,11239764,1.3731741997763
89,18.023802049,1570074,421706475,251934,3703445,13367,1572823,303832594,2078492,212914,3450474,222437,11130513,1.38795666866472
90,18.224022159,1623771,434151635,221375,3644405,13817,1618445,313693227,2103895,196572,3394885,225783,10906633,1.38400066572046
91,18.424217785,1648074,423414942,221172,3572747,13625,1648755,312795872,2059176,185961,3360282,225038,11021142,1.35364619517741
92,18.624442418,1615993,426105965,223881,3602247,18172,1607864,312588052,2137516,194441,3414952,216511,11183957,1.36315499672393
93,18.824642292,1644846,424852161,219217,3564368,19298,1658281,313020731,2055891,184324,3361980,241787,11124199,1.35726525090761
94,19.024857059,1574273,425893941,238994,3678276,10820,1582484,308155569,2095406,204144,3413290,197899,11153930,1.38207445798262
95,19.22506468,1560833,424928924,273419,3774563,12255,1562428,302554889,2080183,220996,3455640,190920,11062346,1.40446887308438
96,19.4252565,1643990,425727579,216612,3608593,16674,1635932,311383937,2099587,192732,3357079,223886,11009851,1.36721111275563
97,19.625465342,1639220,424141492,210024,3585784,13545,1642576,312183808,2050320,183602,3329455,223911,11034278,1.3586274532214
98,19.825676406,1604526,431993778,239481,3666088,13324,1599679,308873190,2138415,205374,3411952,199026,11183189,1.39861209061233
99,20.025874713,1569759,420722928,254281,3698593,10152,1579205,301247495,2067710,217504,3432762,189428,11136964,1.3966022456054
100,20.226080437,1634522,426490392,219176,3627649,13283,1645423,307882094,2091662,186819,3375714,241299,11098918,1.38523935074964
101,20.426296036,1649560,429176825,219682,3651962,13388,1641122,313230149,2090732,188016,3414616,213815,11293278,1.37016448247451
102,20.626503455,1595508,427395448,239076,3707640,15704,1619636,305404972,2132039,194427,3441238,189599,11258449,1.39943840861897
103,20.826712587,1560317,424381233,263169,3750990,12942,1552140,302063742,2054682,209571,3466405,181110,11233758,1.40493933561877
104,21.026936498,1614361,424529823,217820,3620834,12170,1608595,308237690,2076516,187046,3356337,220184,11128597,1.37728070502994
105,21.22715531,1615304,428772249,211358,3649264,9496,1601161,308225464,2080013,186490,3360083,216609,11156417,1.39109937068665
106,21.427387142,1604382,425060375,223890,3654328,12690,1600817,308350677,2099187,192091,3411620,196050,11355022,1.37849664912524
107,21.627609162,1605786,419662711,231263,3634187,12120,1600115,304022298,2104178,200595,3424916,193351,11245969,1.38036819588805
108,21.827829158,1634383,425093462,216865,3619973,12993,1624763,307218776,2099656,189462,3386821,207727,11227098,1.38368320951842
109,22.02802099,1658090,428633190,209888,3515200,19273,1660776,310719290,2047837,183842,3330663,259280,10843140,1.37948689957421
110,22.228245167,1640669,430089691,214557,3573400,14612,1632664,309025965,2088740,186326,3327238,227173,11059896,1.3917590743548
111,22.428451565,1647181,426368457,208548,3600884,13222,1656382,310651157,2044180,181724,3328908,233976,10980403,1.37249917598086
112,22.628651946,1621553,422389719,217532,3650568,12651,1617842,305285326,2108089,187025,3379737,200235,11304922,1.38358998296564
113,22.828863377,1620442,426669215,223059,3647413,15165,1631126,306188803,2112667,188514,3370564,207176,11350453,1.39348405565307
114,23.029063886,1615277,424059708,215825,3591373,11640,1639009,302785923,2131225,185957,3358978,205294,11190353,1.40052649673545
115,23.22926107,1654187,423081926,210868,3555188,15289,1641610,307399625,2042692,180922,3335366,237598,10934447,1.3763254460704
116,23.42947858,1611764,425301397,215181,3603578,12424,1618253,304004367,2123061,188324,3360249,207146,11223223,1.39899765650406
