index,time,dTLB-load-misses,cache-misses:u,branch-load-misses,L1-icache-load-misses,branch-misses:u,L1-dcache-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-store-misses,instructions:u,cpu-cycles:u,LLC-load-misses,cpi
48,9.80929964,149239,439050,5462376,218819,5346021,2219694,378,1560,132,843715687,514829870,430429,0.610193549714099
49,10.009499479,160238,415722,5385795,238604,5180069,2254338,347,2122,30,872737798,515801534,435343,0.591015463272051
50,10.209684763,153727,409232,5439585,274767,5375681,2288717,488,2543,623,850160036,512562320,400862,0.602900981339471
51,10.409871057,146017,418566,5114640,277315,5217446,2130675,402,2053,75,847450161,515487041,429559,0.608280067339559
52,10.61007089,135092,402383,5364634,255561,5491715,2110410,439,2001,275,855271883,514425937,395889,0.601476497971114
53,10.81025937,157607,385149,5231415,269923,5258280,2165531,394,2008,428,869724406,513640590,408951,0.590578563113244
54,11.010449641,166109,447308,5294571,273923,5457451,2313953,475,1704,109,839012582,515969593,443568,0.614972414084727
55,11.210650802,145746,395718,5368939,263071,5425836,2281654,347,2269,271,867414032,514996993,383129,0.593715312412654
56,11.410841628,154179,413142,5476639,259542,5570464,2315557,452,2107,120,847344983,514510172,430454,0.607202712380962
57,11.611030466,141823,440123,5465510,232119,5409322,2319021,413,2087,294,841987699,509726761,420847,0.605385044942325
58,11.81123222,152115,386778,5299610,233656,5397291,2167260,419,1867,65,863043807,514333090,389030,0.595952471738205
59,12.011424657,156516,399215,5416171,226418,5499360,2243172,394,1739,100,864203855,514576094,405529,0.595433694287328
60,12.211584618,135961,366289,5766653,322932,5763914,2423030,344,1892,587,855212487,515368531,355048,0.602620446770909
61,12.411806554,116221,355722,5018965,492763,5046815,2163480,447,2054,1086,737473048,461999192,362410,0.626462476497175
62,12.611994093,108222,386597,4937186,347171,5020892,2145419,447,2218,2035,751286461,456324879,345515,0.607391324998202
63,12.812168035,112803,340618,4483062,475551,4682831,1930242,391,1934,1272,676905536,469689715,377695,0.693877786515843
64,13.012352618,116835,413494,4540150,204258,4653938,1912837,389,1873,882,731438183,461475505,385034,0.630915251248238
65,13.212517751,147670,435695,5120448,455541,4779606,2371397,353,1864,1523,769412147,493762164,423523,0.641739496738151
66,13.412733484,136261,422805,5229952,233390,5322649,2267210,344,1955,606,795818286,486321146,420179,0.611095716893341
67,13.612937216,150382,438109,5371866,250257,5476741,2369362,406,1993,238,844633492,511081217,425205,0.605092293688018
68,13.813126193,151956,377017,5270352,222628,5230262,2269333,377,2009,317,873108286,514987329,403435,0.589832140248409
69,14.013316654,158903,443325,5627781,222965,5685144,2343938,407,2058,21,853141655,514032165,444594,0.602516782514857
70,14.213522838,165034,416692,5622796,218307,5647662,2341767,406,1930,75,853696202,514824067,437266,0.603053013231046
71,14.413716597,154945,381245,5653705,227417,5570356,2318679,422,2123,50,856630744,515632968,366848,0.601931429161968
72,14.613908337,144266,435724,5548629,220244,5496590,2276742,519,2223,412,852235604,515852918,439619,0.605293789157394
73,14.814087739,153730,426151,5598606,216145,5636927,2353861,439,2002,124,851073167,516239693,412157,0.606574984404367
74,15.014288045,143707,398009,5441193,232802,5486994,2494783,368,1880,126,871643355,515682499,398513,0.591620983561562
75,15.214478393,155276,435934,5464043,281947,5306716,2253427,408,2383,128,849800153,513936655,416766,0.604773549623025
76,15.414673539,141863,409526,5490411,298936,5381165,2118192,325,2004,231,856452026,515095609,433122,0.601429611189921
77,15.614877908,132102,392888,5410170,274484,5467341,2170066,459,1905,935,848518420,515932607,376651,0.608039371732201
78,15.815068184,149005,413199,5501975,252523,5444900,2210234,469,1965,121,845262883,514573680,411710,0.608773542940487
79,16.015257662,148676,365588,5109290,234653,5104928,2120622,392,1985,94,880870914,515538526,375294,0.5852600168837
80,16.215458298,148108,400175,5253806,230637,5171697,2111632,390,2141,101,862303456,513214350,428446,0.595166755309862
81,16.415665032,143379,404712,5428354,235720,5405078,2380087,348,1870,71,864652086,513963360,402291,0.594416376623418
82,16.615864581,150592,400446,5431730,251911,5454103,2418564,309,2042,184,854213708,515489833,421983,0.603467057683884
83,16.816064494,146876,392611,5640509,259049,5535229,2393840,472,1861,175,851069323,514821496,389666,0.604911353384547
84,17.016259453,141878,422393,5141980,217591,5305327,2224227,369,1800,114,861084063,515926239,417305,0.59915896852454
85,17.216429287,128019,393759,5210177,241647,5291311,2073585,450,2218,1162,810625041,485908601,384317,0.599424612396103
86,17.416635474,113457,334737,4895531,244818,4990572,1923061,463,2407,268,756754734,457454639,350694,0.604495245879757
87,17.616825538,120274,382079,5700781,266965,5626932,2164973,374,2211,243,837568055,509909600,366132,0.608797812853548
88,17.817011338,115934,345074,5411712,266146,5372303,2071754,297,2161,315,874599521,514360143,338366,0.588109335358303
89,18.017220043,140872,359262,5304067,228842,5269809,2176725,400,1851,173,878115828,515115415,395756,0.586614428956632
90,18.2173867,141935,421897,5115712,222976,5156810,2222812,431,2203,380,802075117,486099758,409108,0.606052659778498
