index,time,instructions:u,L1-icache-load-misses,cache-misses:u,iTLB-load-misses,branch-misses:u,L1-dcache-load-misses,cpu-cycles:u,branch-load-misses,LLC-store-misses,dTLB-load-misses,LLC-load-misses,dTLB-store-misses,cpi
47,9.61195168,727675472,5890,1446286,2568,6354750,4931990,495245759,5791217,80943,1918344,934059,38078,0.680586027778053
48,9.812169759,689633263,157393,1395436,8949,4089851,6952384,502116421,3399920,26322,776950,787597,54418,0.72809194094804
49,10.012375234,650350741,180507,781240,8940,5100891,6258773,505285286,5210101,1171,974111,792157,4082,0.776942738964297
50,10.21254678,673873335,175317,776077,9084,4969212,6485723,503355580,4938714,549,936834,797198,3212,0.746958744108787
51,10.41276112,690214681,164884,790705,8170,5037754,6223255,505750184,5038232,478,921244,822987,3893,0.732743301355539
52,10.612965671,644833857,167649,864997,8148,5173385,6236102,498934050,5249297,387,901135,732175,2808,0.773740467538757
53,10.813160642,647833750,164109,760279,8829,5219263,6415048,501562008,5123525,541,933587,908221,3385,0.774214075756319
54,11.013354752,635473571,155735,831735,8222,5140556,7263615,506272490,5045484,51959,875863,1253868,18776,0.796685358925808
55,11.213568532,668685093,152523,765608,9118,5017662,7996123,506853939,5063557,344,1013633,759062,4404,0.757986000145512
56,11.413769419,627214345,146152,958288,9615,4806590,7746465,500604683,4850251,277,1038040,857933,4607,0.798139722075393
57,11.61395201,633624879,138601,927736,7998,5089054,7329787,507188864,5015298,293,1083740,957348,4237,0.80045604396162
58,11.814181782,612939478,146997,864573,7988,5004016,7787574,505120946,4869567,265,1003704,875751,5141,0.824095957480487
59,12.014372091,611571805,119000,2706404,8778,4319397,11948136,502133207,4895149,18563,1108079,1588554,5184,0.821053558870328
60,12.214570476,602308670,143608,1066322,8031,4761652,7636226,503634336,4716352,378,1041696,1113058,5400,0.836173146901571
61,12.414778128,677782923,161402,764436,8462,5203711,6223557,503670292,5289071,479,976772,770930,3657,0.743114461737479
62,12.614974905,579691484,185093,969346,9857,4653114,5821453,492049189,4684548,8920,945256,902194,3975,0.848812174373774
63,12.815159347,513661416,251826,888996,7241,4308310,5368305,478416821,4216721,475,856903,854296,3160,0.931385551061129
64,13.015421537,471363988,292286,965136,7885,3641482,4814534,460164214,3891890,685,804774,968483,3347,0.976239648583421
65,13.215629887,627440797,184066,751363,10359,4727494,5469958,493054387,4686569,516,852259,718612,4524,0.785818182938461
66,13.415811019,614971098,157604,1337846,10064,4595660,7101506,495776083,4686220,569,1035058,1110045,4861,0.806177858784512
67,13.615998829,584224507,210290,1027485,8787,4218857,6358127,492945264,3662618,15946,852111,961155,38811,0.843759989684924
68,13.816208448,418635928,236062,1096286,7351,3671230,5668059,452460413,3341022,562,692618,1029610,2827,1.08079689949593
69,14.016418826,600587985,157797,853057,9239,5364444,7150701,501425084,5320232,345,1081210,808338,4128,0.834890301709915
70,14.216624901,643148617,162430,862055,8204,5241907,6064398,506099137,5337548,428,995121,843538,4608,0.786908536569239
71,14.416815545,696832083,155059,720714,8773,5090107,5950219,506603256,5091198,456,869662,706739,4347,0.727009086348282
72,14.617008619,690379504,139952,836881,7537,4874389,5885956,504090774,4872971,456,897773,714729,4154,0.730164744288237
73,14.817195932,676834961,141765,1554011,8721,5028508,9052205,508855784,5252703,17277,923380,1439038,3949,0.751816636729556
74,15.017413532,583691837,160565,1077347,9039,4767118,6765646,498230868,4776237,407,1053245,1152672,4860,0.853585464824652
75,15.217614214,632574270,148226,961099,9227,4969456,6517778,506425885,4863647,382,1027714,940771,4932,0.800579329601882
76,15.417815334,618694371,167856,1067740,9130,4714685,6060345,503769803,4846950,375,1115827,1089228,5339,0.81424662420276
77,15.618031322,609783831,151608,1092429,8351,4909466,6419265,504117751,4924459,362,1139011,1088811,6083,0.826715510270721
78,15.818230228,666809296,157628,1230872,8892,4853193,6634428,507346552,5086974,578,1024440,1021700,5123,0.760857047199894
79,16.018434372,590951263,153043,905232,8333,5296874,6741001,502047353,5260638,321,1071057,917393,5629,0.849557966000996
80,16.218648853,628164110,141497,1068869,10053,4664328,6483873,488982701,4729868,371,978829,1056748,5069,0.778431453207347
81,16.418850932,594199562,141253,1042081,11364,5070151,6997354,506380938,4931164,480,1072319,1024673,4966,0.852206851677215
82,16.619060116,636991994,131219,2331970,8890,4420967,11580145,504137094,4937976,9638,1066391,1722980,5466,0.791433956389725
83,16.819279531,601607607,161626,1043320,8919,4681645,6808651,502548088,4671849,378,1072995,1015683,5632,0.835341977316454
84,17.019489269,637348243,152726,876512,8403,5094757,7296281,506799723,5091863,349,1055493,918245,4474,0.795169247842423
85,17.219637204,614948108,163041,901074,8310,4775973,6761368,498972216,4673408,14653,879142,844464,5641,0.81140540073017
